organismo,area,nombre
CSIC,Biociencias y biotecnología,JAVIER BRUMOS FUENTES
CSIC,Biociencias y biotecnología,FRANCESCO COLIZZI
CSIC,Biociencias y biotecnología,LUCIANO MARCON
CSIC,Biociencias y biotecnología,MYLENE MARIETTE
CSIC,Biociencias y biotecnología,MIGUEL ANGEL MOMPEAN GARCIA
CSIC,Biociencias y biotecnología,ESTHER ORTEGA PORTERO
CSIC,Biomedicina,ANA ORTEGA MOLINA
CSIC,Ciencias agrarias y agroalimentarias,ELVIRA FIALLO OLIVE
CSIC,Ciencias agrarias y agroalimentarias,MARTA FRANCISCO CANDEIRA
CSIC,Ciencias agrarias y agroalimentarias,SELENA GIMENEZ IBAÑEZ
CSIC,Ciencias agrarias y agroalimentarias,PILAR GOMEZ CORTES
CSIC,Ciencias agrarias y agroalimentarias,LAURA LAGUNA CRUAÑES
CSIC,Ciencias agrarias y agroalimentarias,LAIA NAVARRO MARTIN
CSIC,Ciencias agrarias y agroalimentarias,MARIA‐PILAR SAENZ NAVAJAS
CSIC,Ciencias físicas,MARIA DOLORES CABALLERO GARCIA
CSIC,Ciencias físicas,LLUIS GALBANY GONZALEZ
CSIC,Ciencias físicas,IGNACIO MENDIGUTIA GOMEZ
CSIC,Ciencias físicas,MAR MEZCUA PALLEROLA
CSIC,Ciencias y tecnologías de materiales,SANTIAGO FAJARDO PANIZO
CSIC,Ciencias y tecnologías de materiales,PABLO GUARDIA GIROS
CSIC,Ciencias y tecnologías de materiales,MARIA MOROS CABALLERO
CSIC,Ciencias y tecnologías medioambientales,ANA ZELIA ALMEIDA FRANÇA E MILLER
CSIC,Ciencias y tecnologías medioambientales,ANDREA GARCIA BRAVO
CSIC,Ciencias y tecnologías medioambientales,VICENTE GARCIA‐NAVAS CORRALES
CSIC,Ciencias y tecnologías medioambientales,CLARA RUIZ GONZALEZ
CSIC,Ciencias y tecnologías medioambientales,OSCAR SERRANO GRAS
CSIC,Ciencias y tecnologías químicas,IGNACIO COLOMER UTRERA
CSIC,Ciencias y tecnologías químicas,MARIA DEL VALLE PALOMO RUIZ
CSIC,Ciencias y tecnologías químicas,MARIA RETUERTO MILLAN
CSIC,Energía y transporte,ISABEL MARTINEZ BERGES
CSIC,"Mente, lenguaje y pensamiento",KIERAN OBERMAN
CSIC,"Producción industrial, ingeniería civil e ingenierías para la sociedad",PABLO GAGO FERRERO
CSIC,"Producción industrial, ingeniería civil e ingenierías para la sociedad",MIRIAM RODRIGUEZ GARCIA
CSIC,Tecnologías de la información y de las comunicaciones,EDUARDO GIL SANTOS
CSIC,Tecnologías de la información y de las comunicaciones,WEIQIANG LI
ASOC BCBL BASQUE CENTER ON COGNITION BRAIN AND LANGUAGE,Psicología,CRAIG GEOFFREY RICHTER
ASOC BCBL BASQUE CENTER ON COGNITION BRAIN AND LANGUAGE,Psicología,MANUELA RUZZOLI
ASOCIACION CENTRO DE INVESTIGACION COOP EN BIOCIENCIAS CIC BIOGUNE,Biomedicina,MARCO PIVA
CENTRE D ESTUDIS DEMOGRÀFICS,Ciencias sociales,DIEDERIK BOERTIEN
CENTRE DE RECERCA EN ECONOMIA INTERNACIONAL,Economía,VLADIMIR ASRIYAN
CENTRE DE RECERCA EN ECONOMIA INTERNACIONAL,Economía,DAVID KRISZTIAN NAGY
CENTRO DE VISION POR COMPUTADOR,Tecnologías de la información y de las comunicaciones,LUIS HERRANZ ARRIBAS
FUNDACIÓ INSTITUT CATALÀ DE NANOCIÈNCIA I NANOTECNOLOGIA,Ciencias físicas,ARON CUMMINGS
FUNDACIÓ INSTITUT CATALÀ DE NANOCIÈNCIA I NANOTECNOLOGIA,Ciencias físicas,ELENA DEL CORRO GARCIA
FUNDACIÓ INSTITUT CATALÀ DE NANOCIÈNCIA I NANOTECNOLOGIA,Ciencias y tecnologías de materiales,ALEJANDRO GOMEZ ROCA
FUNDACIÓ INSTITUT CATALÀ DE NANOCIÈNCIA I NANOTECNOLOGIA,Ciencias y tecnologías de materiales,JUAN FRANCISCO SIERRA GARCIA
FUNDACIO INSTITUT D INVESTIGACIO BIOMEDICA DE BELLVITGE (IDIBELL),Biomedicina,JORDI GUIU SAGARRA
FUNDACIO INSTITUT DE BIOENGINYERIA DE CATALUNYA,Ciencias y tecnologías de materiales,SILVIA PUJALS RIATOS
FUNDACIO INSTITUT MAR D'INVESTIGACIONS MEDIQUES,Biociencias y biotecnología,PATRICK‐SIMON WELZ
FUNDACIO PER A LA RECERCA I LA DOCENCIA SANT JOAN DE DEU (FSJD),Biomedicina,ALEXANDRA AVGUSTINOVA
FUNDACIO PRIVADA INSTITUT D'INVESTIGACIO ONCOLOGICA DE VALL‐HEBRON (VHIO),Biomedicina,JOSE ANTONIO SEOANE FERNANDEZ
FUNDACIÓN DE LA COMUNIDAD VALENCIANA CENTRO DE INVESTIGACION PRÍNCIPE FELIPE,Biociencias y biotecnología,VICENTE PEREZ GARCIA
FUNDACIÓN DE LA COMUNIDAD VALENCIANA CENTRO DE INVESTIGACION PRÍNCIPE FELIPE,Biomedicina,JUAN RODRIGUEZ VITA
FUNDACION IMDEA ENERGIA,Ciencias y tecnologías químicas,MARIA ELIA TOMAS PEJO
FUNDACIÓN IMDEA MATERIALES,"Producción industrial, ingeniería civil e ingenierías para la sociedad",DAMIEN TOURRET
FUNDACION IMDEA SOFTWARE,Tecnologías de la información y de las comunicaciones,JUAN CABALLERO BAYERRI
FUNDACION PARA LA INVESTIGACION MEDICA APLICADA,Biomedicina,ALVARO TEIJEIRA SANCHEZ
FUNDACION PRIVADA INSTITUT CATALA DE PALEOECOLOGIA HUMANA I EVOLUCIO SOCIAL,Estudios del pasado: historia y arqueología,RUTH BLASCO LOPEZ
FUNDACION PRIVADA INSTITUTO DE SALUD GLOBAL BARCELONA,Biomedicina,JORDI MERINO RIBAS
INSTITUT CATALA D ARQUEOLOGIA CLASSICA,Estudios del pasado: historia y arqueología,LIDIA COLOMINAS BARBERA
INSTITUT DE FISICA D ALTES ENERGIES,Ciencias físicas,POL FORN DIAZ
INSTITUT DE RECERCA CONTRA LA LEUCEMIA JOSEP CARRERAS,Biomedicina,EDUARD PORTA PARDO
INSTITUT DE RECERCA CONTRA LA LEUCEMIA JOSEP CARRERAS,Ciencias y tecnologías químicas,LAURA MONDRAGON MARTINEZ
INSTITUT DE RECERCA I TECNOLOGIA AGROALIMENTARIES (IRTA),Ciencias agrarias y agroalimentarias,IGOR FLOREZ SARASA
INSTITUT DE RECERCA I TECNOLOGIA AGROALIMENTARIES (IRTA),Ciencias agrarias y agroalimentarias,YULIAXIS RAMAYO CALDAS
